Input.target1,target_img_id,alternative_id_y,target_alt_id,qid
B001DXL1WY.jpg,2251,"557,2194,1714","u2251,557,2194,1714-t0",u2251-t0
B002DMJQTE.jpg,1263,104,"u1263,104-t0",u1263-t0
B002Y2RC8A.jpg,629,2081,"u629,2081-t0",u629-t0
B0032FOQUU.jpg,486,"714,1772","u486,714,1772-t0",u486-t0
B0036SHD1W.jpg,1775,"2319,1737","u1775,2319,1737-t0",u1775-t0
B00385IQY6.jpg,430,"516,2063,1445","u430,516,2063,1445-t0",u430-t0
B003I62TM0.jpg,420,"1929,1217","u420,1929,1217-t0",u420-t0
B0046Q4K6E.jpg,1789,"1450,1985,1442","u1789,1450,1985,1442-t0",u1789-t0
B0048C7MMU.jpg,1508,"27,1275,986","u1508,27,1275,986-t0",u1508-t0
B00499DHK8.jpg,93,"1853,516,801","u93,1853,516,801-t0",u93-t0
B004HSN6W0.jpg,1854,2179,"u1854,2179-t0",u1854-t0
B004I3UEXS.jpg,254,21,"u254,21-t0",u254-t0
B004ISKT38.jpg,218,"1730,74,1465","u218,1730,74,1465-t0",u218-t0
B004L10OU0.jpg,410,"1132,63,1730,890","u410,1132,63,1730,890-t0",u410-t0
B004TM36ME.jpg,930,"1730,1724,2175","u930,1730,1724,2175-t0",u930-t0
B004V7KUQ2.jpg,1221,"1568,285,1202","u1221,1568,285,1202-t0",u1221-t0
B00530FEEY.jpg,891,"1947,2328","u891,1947,2328-t0",u891-t0
B0058BPLPK.jpg,2386,"1730,913,1749,1465","u2386,1730,913,1749,1465-t0",u2386-t0
B005AQCKBQ.jpg,1064,"282,649,1568","u1064,282,649,1568-t0",u1064-t0
B005I63HRY.jpg,2236,"182,1317,104,2221","u2236,182,1317,104,2221-t0",u2236-t0
B005LJDKHA.jpg,1476,"1724,1202","u1476,1724,1202-t0",u1476-t0
B005MGDYK0.jpg,239,"516,1541,2186","u239,516,1541,2186-t0",u239-t0
B005O0PARY.jpg,1880,1724,"u1880,1724-t0",u1880-t0
B005SGZXTY.jpg,495,"2179,495,1517,63","u495,2179,495,1517,63-t0",u495-t0
B005VTKJWO.jpg,2366,1313,"u2366,1313-t0",u2366-t0
B0063TUIB8.jpg,246,"1951,2179,557","u246,1951,2179,557-t0",u246-t0
B00655A1TE.jpg,1337,1271,"u1337,1271-t0",u1337-t0
B0065U2ZPW.jpg,942,285,"u942,285-t0",u942-t0
B006DYG6PA.jpg,1824,"893,2179","u1824,893,2179-t0",u1824-t0
B006QKKVZM.jpg,367,"2158,2147,654","u367,2158,2147,654-t0",u367-t0
B006WAQ3TE.jpg,819,"1523,1103","u819,1523,1103-t0",u819-t0
B006YNDYF0.jpg,1605,2179,"u1605,2179-t0",u1605-t0
B0070IN282.jpg,259,1730,"u259,1730-t0",u259-t0
B0070QMT24.jpg,611,1397,"u611,1397-t0",u611-t0
B0071NHF5W.jpg,1264,423,"u1264,423-t0",u1264-t0
B007457CVE.jpg,321,1380,"u321,1380-t0",u321-t0
B0076OEBY4.jpg,1669,"157,2111","u1669,157,2111-t0",u1669-t0
B0076R88V8.jpg,931,"1450,1244,285","u931,1450,1244,285-t0",u931-t0
B007959ZSW.jpg,1535,"940,1539,104,442,1286,2289","u1535,940,1539,104,442,1286,2289-t0",u1535-t0
B007CL8W1O.jpg,821,442,"u821,442-t0",u821-t0
B007FDYS62.jpg,1379,1223,"u1379,1223-t0",u1379-t0
B007G3N9CU.jpg,840,"2037,1118","u840,2037,1118-t0",u840-t0
B007G6JZV6.jpg,2157,"314,285,614,1244,1316","u2157,314,285,614,1244,1316-t0",u2157-t0
B007H12PCG.jpg,2418,"1539,466,578","u2418,1539,466,578-t0",u2418-t0
B007HI6KPM.jpg,647,"893,893","u647,893,893-t0",u647-t0
B007RBIRK0.jpg,1667,"557,1517,1669","u1667,557,1517,1669-t0",u1667-t0
B007RBZ3GQ.jpg,2091,"208,1888,698,933","u2091,208,1888,698,933-t0",u2091-t0
B007SOULGY.jpg,210,"1724,104","u210,1724,104-t0",u210-t0
B007WASVRK.jpg,940,1289,"u940,1289-t0",u940-t0
B007WAT1H4.jpg,617,1687,"u617,1687-t0",u617-t0
B007XATMYA.jpg,1385,1888,"u1385,1888-t0",u1385-t0
B0080DKT9G.jpg,2256,"516,240","u2256,516,240-t0",u2256-t0
B0080N9HNU.jpg,1817,"557,1817,63","u1817,557,1817,63-t0",u1817-t0
B0081TB10A.jpg,1609,"285,1475,557","u1609,285,1475,557-t0",u1609-t0
B0084DJO1Q.jpg,1036,165,"u1036,165-t0",u1036-t0
B008596PSY.jpg,1001,1687,"u1001,1687-t0",u1001-t0
B0088AAXUG.jpg,2348,285,"u2348,285-t0",u2348-t0
B0089XW7OC.jpg,789,"285,1397,516","u789,285,1397,516-t0",u789-t0
B008B8461W.jpg,1304,"1044,1730,614","u1304,1044,1730,614-t0",u1304-t0
B008D5AYOG.jpg,1283,"285,614,442,1986,1687","u1283,285,614,442,1986,1687-t0",u1283-t0
B008D5IQFU.jpg,1249,"516,7,1465","u1249,516,7,1465-t0",u1249-t0
B008F48SN4.jpg,1133,"2289,752,579","u1133,2289,752,579-t0",u1133-t0
B008MC8438.jpg,2116,614,"u2116,614-t0",u2116-t0
B008MNM7Y4.jpg,1268,"986,614,285,686","u1268,986,614,285,686-t0",u1268-t0
B008MZS5Y8.jpg,252,"1648,2179,442,63","u252,1648,2179,442,63-t0",u252-t0
B008PG0SOO.jpg,188,557,"u188,557-t0",u188-t0
B008PHQ8II.jpg,1271,"439,557,1687,2409","u1271,439,557,1687,2409-t0",u1271-t0
B008R8BGT6.jpg,782,"285,590,1380","u782,285,590,1380-t0",u782-t0
B008R9FAD8.jpg,599,"90,398","u599,90,398-t0",u599-t0
B008S4C8JG.jpg,1165,"146,2320,2320,2142","u1165,146,2320,2320,2142-t0",u1165-t0
B008UD2EAS.jpg,247,"285,614,2431,104,1286","u247,285,614,2431,104,1286-t0",u247-t0
B0093K54X6.jpg,809,"2179,557,1539,2108","u809,2179,557,1539,2108-t0",u809-t0
B0097JITVM.jpg,1746,653,"u1746,653-t0",u1746-t0
B0099N7EA8.jpg,507,614,"u507,614-t0",u507-t0
B009AMLLVG.jpg,916,"2417,590,847","u916,2417,590,847-t0",u916-t0
B009E2E3QM.jpg,1886,"1202,1568,649,590","u1886,1202,1568,649,590-t0",u1886-t0
B009FX8ODI.jpg,1403,1539,"u1403,1539-t0",u1403-t0
B009T74R2C.jpg,2327,285,"u2327,285-t0",u2327-t0
B009UJ5M7S.jpg,1359,"516,2179,1230,1808,1888,208,285,262,1005","u1359,516,2179,1230,1808,1888,208,285,262,1005-t0",u1359-t0
B00A4FQ4PG.jpg,2228,834,"u2228,834-t0",u2228-t0
B00A7DWWAQ.jpg,1465,"442,2449,847,614,1687","u1465,442,2449,847,614,1687-t0",u1465-t0
B00AEMHDIG.jpg,965,199,"u965,199-t0",u965-t0
B00AFV75CU.jpg,1916,"557,1951,1687","u1916,557,1951,1687-t0",u1916-t0
B00AO1VG9Y.jpg,618,43,"u618,43-t0",u618-t0
B00ARHO3ZY.jpg,2177,1441,"u2177,1441-t0",u2177-t0
B00AWMNYG8.jpg,1292,"1730,351","u1292,1730,351-t0",u1292-t0
B00AXVFMYA.jpg,1822,"614,2378,596","u1822,614,2378,596-t0",u1822-t0
B00AYWXQ9Q.jpg,929,"1539,929,104","u929,1539,929,104-t0",u929-t0
B00B1VG358.jpg,2087,"1687,1217,1415","u2087,1687,1217,1415-t0",u2087-t0
B00B8PYBII.jpg,1600,"2080,285,557","u1600,2080,285,557-t0",u1600-t0
B00BH9KMO2.jpg,1941,2175,"u1941,2175-t0",u1941-t0
B00BI5R31U.jpg,1229,"2289,731,1317","u1229,2289,731,1317-t0",u1229-t0
B00BJGVXNW.jpg,521,1519,"u521,1519-t0",u521-t0
B00BPCXTVE.jpg,1192,206,"u1192,206-t0",u1192-t0
B00BPTPJ38.jpg,361,"262,104,2082,63,1724,1687","u361,262,104,2082,63,1724,1687-t0",u361-t0
B00BRE2YD4.jpg,414,1517,"u414,1517-t0",u414-t0
B00BU9S4V2.jpg,1749,"2412,1724,114","u1749,2412,1724,114-t0",u1749-t0
B00BUVJTSC.jpg,1578,1450,"u1578,1450-t0",u1578-t0
B00BWA8H0C.jpg,798,"2179,1650,1985","u798,2179,1650,1985-t0",u798-t0
B00BYF3GVA.jpg,719,834,"u719,834-t0",u719-t0
B00C2CTQPE.jpg,1189,"1651,366","u1189,1651,366-t0",u1189-t0
B00C2G1HCA.jpg,756,"104,1832,518,1888,2289,1730,1800","u756,104,1832,518,1888,2289,1730,1800-t0",u756-t0
B00C2MGB6G.jpg,2329,"2179,146,1289","u2329,2179,146,1289-t0",u2329-t0
B00C5168K8.jpg,56,"2158,285,285,2387","u56,2158,285,285,2387-t0",u56-t0
B00C6PP86S.jpg,812,1465,"u812,1465-t0",u812-t0
B00CBYG6VA.jpg,134,44,"u134,44-t0",u134-t0
B00CGYK5K8.jpg,508,1007,"u508,1007-t0",u508-t0
