qid,docno,docid,rank
"u2116,614-t0",B008YDEB6E.jpg,144,0
"u700,698-t0",B008BHSG82.jpg,79,0
"u1165,146,2320,2320,2142-t0",B007FO27IW.jpg,1069,0
"u2418,1539,466,578-t0",B00AFDIN42.jpg,1860,0
"u1627,500,246,992-t0",B00DCC9ZJK.jpg,1481,0
"u321,1380-t0",B0058JXYYW.jpg,1831,0
"u1258,516,2194,1465-t0",B00C2G1HCA.jpg,756,0
"u495,2179,495,1517,63-t0",B0047SD9WC.jpg,1761,0
"u507,614-t0",B0085F4XEG.jpg,287,0
"u610,516-t0",B0098XU33E.jpg,243,0
"u210,1724,104-t0",B002AQSPL8.jpg,1971,0
"u1605,2179-t0",B00BNH31AU.jpg,1032,0
"u1865,557,1465,1452,285,1329,1217,1951-t0",B009CQNT6U.jpg,1773,0
"u178,2333,1466-t0",B00C3LJ93S.jpg,1994,0
"u798,2179,1650,1985-t0",B00E21AEUY.jpg,1388,0
"u1379,1223-t0",B0069IWITS.jpg,827,0
"u1523,516,1888,285,1465,2311-t0",B001EA86KQ.jpg,179,0
"u819,1523,1103-t0",B008PRJ394.jpg,2178,0
"u647,893,893-t0",B00B8PYBII.jpg,1600,0
"u1193,1850,1060,1738,439-t0",B00DMEFORK.jpg,1730,0
"u1283,285,614,442,1986,1687-t0",B00AD11LB8.jpg,34,0
"u1189,1651,366-t0",B004GBAUBS.jpg,242,0
"u756,104,1832,518,1888,2289,1730,1800-t0",B00DOS9HN6.jpg,1198,0
"u643,314-t0",B00BYFESVM.jpg,2289,0
"u1609,285,1475,557-t0",B00D3SCKPE.jpg,608,0
"u1822,614,2378,596-t0",B008ZAD996.jpg,1568,0
"u1405,2050,557-t0",B0077KMLT4.jpg,497,0
"u93,1853,516,801-t0",B00B804Y3K.jpg,292,0
"u2252,1119,104,1217,590,2158,63,614,1230,1390,890,1539,1774,285,1687-t0",B0083QEJL4.jpg,2326,0
"u1789,1450,1985,1442-t0",B00967OFKE.jpg,1976,0
"u56,2158,285,285,2387-t0",B00E0ORPVY.jpg,2077,0
"u1337,1271-t0",B00BW7Z49M.jpg,586,0
"u1880,1724-t0",B00CZ6XXF6.jpg,2139,0
"u792,1888,1132,1711,2076,614-t0",B00FN82BN8.jpg,2274,0
"u719,834-t0",B005CNVKCC.jpg,185,0
"u1746,653-t0",B00C12LOZU.jpg,466,0
"u1817,557,1817,63-t0",B00D8YT7LS.jpg,2108,0
"u414,1517-t0",B003TLO3R8.jpg,1488,0
"u1669,157,2111-t0",B003BKX12K.jpg,999,0
"u1053,1638,2223-t0",B009XNN37W.jpg,2407,0
"u1985,1316-t0",B00598QDJK.jpg,2346,0
"u1385,1888-t0",B009B7MLZU.jpg,1713,0
"u1036,165-t0",B0047Y0K0U.jpg,2061,0
"u1269,1269-t0",B009ND97G8.jpg,297,0
"u461,1517-t0",B00E0OSMS4.jpg,653,0
"u2372,1539,516,1517-t0",B00CD8JJ7M.jpg,66,0
"u420,1929,1217-t0",B00DN7KGRO.jpg,2318,0
"u2366,1313-t0",B009P1MYNQ.jpg,716,0
"u44,322-t0",B00B2JHXOE.jpg,1897,0
"u940,1289-t0",B008GQ3BVK.jpg,373,0
"u821,442-t0",B004PKZWNG.jpg,1966,0
"u1034,2300-t0",B00AT8CQIM.jpg,2007,0
"u1249,516,7,1465-t0",B00CY8T80Y.jpg,1047,0
"u246,1951,2179,557-t0",B0036MEL4U.jpg,8,0
"u1535,940,1539,104,442,1286,2289-t0",B003A84EOM.jpg,721,0
"u2216,1275,661,1730-t0",B00CCBVN1K.jpg,1841,0
"u605,1539,2179,1217-t0",B00D3A3HRC.jpg,1908,0
"u1824,893,2179-t0",B00CB73QNI.jpg,129,0
"u1916,557,1951,1687-t0",B0088B30TG.jpg,1375,0
"u1941,2175-t0",B007WAE0SO.jpg,416,0
"u2228,834-t0",B00BAHT21U.jpg,315,0
"u1221,1568,285,1202-t0",B008F48SKC.jpg,1129,0
"u2236,182,1317,104,2221-t0",B00AFR9YH8.jpg,606,0
"u1292,1730,351-t0",B00C93VT5G.jpg,1935,0
"u1177,1244,157-t0",B0085SJZUK.jpg,23,0
"u2157,314,285,614,1244,1316-t0",B00C9796UC.jpg,2054,0
"u259,1730-t0",B00AEDCDZ8.jpg,881,0
"u1187,104-t0",B008F48SN4.jpg,1133,0
"u618,43-t0",B0090F42VY.jpg,889,0
"u1681,1724,2108-t0",B008ZB39FY.jpg,1507,0
"u1370,27-t0",B003ZJ6GCO.jpg,1802,0
"u2344,285,1951-t0",B0095JQU2E.jpg,1282,0
"u188,557-t0",B004Q9T840.jpg,1870,0
"u1511,1669,557,93-t0",B00CA38COQ.jpg,296,0
"u809,2179,557,1539,2108-t0",B008NBYR2A.jpg,275,0
"u812,1465-t0",B008FY9HPW.jpg,1701,0
"u942,285-t0",B004FPYVO2.jpg,1358,0
"u611,1397-t0",B00B08494E.jpg,1175,0
"u1176,2286,1687,1217-t0",B005VTKJWO.jpg,2366,0
"u1133,2289,752,579-t0",B00A0I87AM.jpg,676,0
"u1023,861,1428,2289,2056-t0",B00B1G5SPY.jpg,900,0
"u1393,1351-t0",B00BPCXXIS.jpg,1235,0
"u1775,2319,1737-t0",B004MMF00W.jpg,901,0
"u508,1007-t0",B007NLX7SQ.jpg,2193,0
"u1430,1162,1917-t0",B006JVH5UC.jpg,2148,0
"u1476,1724,1202-t0",B007E66P9I.jpg,387,0
"u2251,557,2194,1714-t0",B0059817JQ.jpg,1866,0
"u855,1217,1687-t0",B0058XV3BY.jpg,707,0
"u353,1873-t0",B007HWN10K.jpg,983,0
"u1593,1539-t0",B00CR02CF2.jpg,742,0
"u1989,654,1987,1730-t0",B0073DLNE4.jpg,584,0
"u254,21-t0",B00FXAC5SM.jpg,1494,0
"u1117,2289,454,590-t0",B00CPWOPJ8.jpg,1542,0
"u840,2037,1118-t0",B0058XRPQQ.jpg,2452,0
"u891,1947,2328-t0",B007UDBI3S.jpg,105,0
"u1163,834,590-t0",B00BXS8A3M.jpg,704,0
"u367,2158,2147,654-t0",B005TM7S68.jpg,157,0
"u1578,1450-t0",B0083F70SY.jpg,2101,0
"u1749,2412,1724,114-t0",B0076R5V0E.jpg,235,0
"u2256,516,240-t0",B00F4MY4OW.jpg,100,0
"u785,1775-t0",B00F150ZXQ.jpg,2060,0
"u2177,1441-t0",B008UEW5RO.jpg,1149,0
"u930,1730,1724,2175-t0",B005IFCASW.jpg,2436,0
"u1001,1687-t0",B006G3YVBE.jpg,237,0
"u2080,246,1539,614,442,1195,614-t0",B0091CXMOE.jpg,2235,0
"u834,1539-t0",B004QL3YBG.jpg,1184,0
"u1044,609,1183-t0",B00A7DR1M0.jpg,1527,0
"u2091,208,1888,698,933-t0",B007C4CF7I.jpg,33,0
"u2001,649-t0",B00AHOYUPA.jpg,57,0
"u1261,992,1697-t0",B006ZO5GC2.jpg,1210,0
"u173,1367,1972-t0",B00BM8Q3NW.jpg,472,0
"u361,262,104,2082,63,1724,1687-t0",B004PEB1KU.jpg,1675,0
"u1667,557,1517,1669-t0",B00AHOYKVO.jpg,746,0
"u1465,442,2449,847,614,1687-t0",B00BOEMLWQ.jpg,2011,0
"u1229,2289,731,1317-t0",B00CELOWN4.jpg,1555,0
"u1263,104-t0",B00GDSPIYQ.jpg,1620,0
"u1737,590-t0",B00APLSSLC.jpg,851,0
"u2329,2179,146,1289-t0",B00E9LE61K.jpg,41,0
"u617,1687-t0",B00E8AUR2O.jpg,2404,0
"u789,285,1397,516-t0",B0072QV4V4.jpg,469,0
"u134,44-t0",B0080E5BJS.jpg,1328,0
"u1192,206-t0",B002EANP9W.jpg,228,0
"u479,931,557,446-t0",B007P5H6HS.jpg,1253,0
"u2327,285-t0",B009815VKG.jpg,822,0
"u1064,282,649,1568-t0",B00DMZAHL2.jpg,2370,0
"u1304,1044,1730,614-t0",B00B92B2JG.jpg,399,0
"u782,285,590,1380-t0",B008RDI8MO.jpg,2340,0
"u1356,571-t0",B0080E6RN2.jpg,919,0
"u1779,2373,590-t0",B00DHP4U0Q.jpg,2432,0
"u430,516,2063,1445-t0",B008J25Y20.jpg,1335,0
"u2382,590-t0",B008VIRN62.jpg,1695,0
"u965,199-t0",B00AA6F0GI.jpg,1721,0
"u1600,2080,285,557-t0",B00A7Z5MKQ.jpg,1044,0
"u1112,1596-t0",B008BDJDE2.jpg,1108,0
"u1387,1456-t0",B009OB2OJ6.jpg,1112,0
"u252,1648,2179,442,63-t0",B001G8HWQA.jpg,936,0
"u1886,1202,1568,649,590-t0",B0082BCNZY.jpg,2200,0
"u2338,1687,1943,1450,2179,813,63,516-t0",B007Y37P22.jpg,1661,0
"u1403,1539-t0",B00CE4GUC2.jpg,248,0
"u410,1132,63,1730,890-t0",B007XD6SPI.jpg,2344,0
"u602,1440-t0",B007PYJLRC.jpg,544,0
"u1878,2179,1697,398-t0",B005ZWBSMM.jpg,1153,0
"u1846,1286,285,285-t0",B00D6D8EL0.jpg,1168,0
"u2175,1568-t0",B005H7G65O.jpg,917,0
"u1854,2179-t0",B005EYTFS0.jpg,393,0
"u2348,285-t0",B00405RUWC.jpg,35,0
"u239,516,1541,2186-t0",B00378LCPE.jpg,2417,0
"u1271,439,557,1687,2409-t0",B0038KR31I.jpg,36,0
"u1359,516,2179,1230,1808,1888,208,285,262,1005-t0",B008OXYAKG.jpg,65,0
"u464,2431,614,2147,614-t0",B00BJ1NFNI.jpg,12,0
"u521,1519-t0",B006VNCKJE.jpg,2221,0
"u100,516,1346,262-t0",B00DQAKVT6.jpg,89,0
"u486,714,1772-t0",B002TUT4UG.jpg,1173,0
"u247,285,614,2431,104,1286-t0",B00AHOY8H0.jpg,130,0
"u599,90,398-t0",B009LGLIIC.jpg,1487,0
"u170,770,1669,1992-t0",B0077H5AJU.jpg,842,0
"u929,1539,929,104-t0",B00EZSOR2U.jpg,577,0
"u1508,27,1275,986-t0",B00438RWVU.jpg,1190,0
"u218,1730,74,1465-t0",B00AOJVGYQ.jpg,2379,0
"u2087,1687,1217,1415-t0",B0089DLVNA.jpg,199,0
"u432,590,285-t0",B00B5P4VG8.jpg,2104,0
"u179,2179,2346,200,1669,285-t0",B00B1VG358.jpg,2087,0
"u1506,2158-t0",B0091QSKHE.jpg,2158,0
"u2000,285,1714,1888-t0",B00BTT3R0Q.jpg,1627,0
"u636,1539,495,590-t0",B0080N9HNU.jpg,1817,0
"u1264,423-t0",B00508YRGU.jpg,1341,0
"u1752,1888,63,2179-t0",B005TDLRRS.jpg,1804,0
"u480,104,1888,893,1669,1275,1730-t0",B005UX57P0.jpg,537,0
"u509,412-t0",B00EEERGP0.jpg,509,0
"u575,285,454,614,285-t0",B002QQ9BEC.jpg,1961,0
"u1533,1539,1724-t0",B009401L6O.jpg,1500,0
"u916,2417,590,847-t0",B00CII41EI.jpg,886,0
