Input.target1,target_img_id,alternative_id_y,target_alt_id,qid
img_womens_athletic_shoes_102.jpg,4331,2698,"u4331,2698-t0",u4331-t0
img_womens_athletic_shoes_1071.jpg,2389,"711,3867,1618","u2389,711,3867,1618-t0",u2389-t0
img_womens_athletic_shoes_1094.jpg,3523,4102,"u3523,4102-t0",u3523-t0
img_womens_athletic_shoes_1114.jpg,4116,"543,3536","u4116,543,3536-t0",u4116-t0
img_womens_athletic_shoes_1148.jpg,3532,4634,"u3532,4634-t0",u3532-t0
img_womens_athletic_shoes_1433.jpg,3802,"920,2530,3865","u3802,920,2530,3865-t0",u3802-t0
img_womens_athletic_shoes_1443.jpg,291,"3196,1375","u291,3196,1375-t0",u291-t0
img_womens_athletic_shoes_1499.jpg,322,"4332,647,3916,1607","u322,4332,647,3916,1607-t0",u322-t0
img_womens_athletic_shoes_1513.jpg,1001,2588,"u1001,2588-t0",u1001-t0
img_womens_athletic_shoes_1518.jpg,387,"1779,1583,4590,2648,1524","u387,1779,1583,4590,2648,1524-t0",u387-t0
img_womens_athletic_shoes_1570.jpg,2753,"1060,689,3607","u2753,1060,689,3607-t0",u2753-t0
img_womens_athletic_shoes_457.jpg,3415,"2648,1550,1779,1524,2644","u3415,2648,1550,1779,1524,2644-t0",u3415-t0
img_womens_athletic_shoes_644.jpg,3984,"96,3349,1564","u3984,96,3349,1564-t0",u3984-t0
img_womens_athletic_shoes_751.jpg,4102,"4622,1607,2864","u4102,4622,1607,2864-t0",u4102-t0
img_womens_athletic_shoes_790.jpg,843,843,"u843,843-t0",u843-t0
img_womens_athletic_shoes_812.jpg,1502,"2351,1426,1502","u1502,2351,1426,1502-t0",u1502-t0
img_womens_athletic_shoes_898.jpg,3844,"4307,433","u3844,4307,433-t0",u3844-t0
img_womens_athletic_shoes_917.jpg,4634,"4522,1607,4263,1652,1146,2337","u4634,4522,1607,4263,1652,1146,2337-t0",u4634-t0
img_womens_boots_1227.jpg,2364,3221,"u2364,3221-t0",u2364-t0
img_womens_boots_1308.jpg,3630,1954,"u3630,1954-t0",u3630-t0
img_womens_boots_1343.jpg,3784,3738,"u3784,3738-t0",u3784-t0
img_womens_boots_1477.jpg,3231,"918,4001","u3231,918,4001-t0",u3231-t0
img_womens_boots_1508.jpg,2328,1694,"u2328,1694-t0",u2328-t0
img_womens_boots_160.jpg,3416,"3001,1225,1694","u3416,3001,1225,1694-t0",u3416-t0
img_womens_boots_217.jpg,1374,"2588,3732,96","u1374,2588,3732,96-t0",u1374-t0
img_womens_boots_303.jpg,3163,"639,1028","u3163,639,1028-t0",u3163-t0
img_womens_boots_463.jpg,23,"23,255,23,986,255,29","u23,23,255,23,986,255,29-t0",u23-t0
img_womens_boots_48.jpg,3422,1954,"u3422,1954-t0",u3422-t0
img_womens_boots_594.jpg,676,"1471,2680","u676,1471,2680-t0",u676-t0
img_womens_boots_67.jpg,8,"1070,1977,1365,2456,2503,2455","u8,1070,1977,1365,2456,2503,2455-t0",u8-t0
img_womens_boots_704.jpg,1018,"2899,2899,1018","u1018,2899,2899,1018-t0",u1018-t0
img_womens_boots_795.jpg,1103,2901,"u1103,2901-t0",u1103-t0
img_womens_clogs_1089.jpg,4553,2188,"u4553,2188-t0",u4553-t0
img_womens_clogs_1113.jpg,2379,"2214,1783","u2379,2214,1783-t0",u2379-t0
img_womens_clogs_1160.jpg,3765,"6,324","u3765,6,324-t0",u3765-t0
img_womens_clogs_1234.jpg,1231,"2401,4511","u1231,2401,4511-t0",u1231-t0
img_womens_clogs_1352.jpg,4119,"183,1427","u4119,183,1427-t0",u4119-t0
img_womens_clogs_1370.jpg,584,"2401,1426","u584,2401,1426-t0",u584-t0
img_womens_clogs_1422.jpg,3153,"2337,2529,3678,1621","u3153,2337,2529,3678,1621-t0",u3153-t0
img_womens_clogs_1564.jpg,3233,"3153,2401","u3233,3153,2401-t0",u3233-t0
img_womens_clogs_1634.jpg,2536,"2119,1141","u2536,2119,1141-t0",u2536-t0
img_womens_clogs_176.jpg,790,"785,4253,183,1490","u790,785,4253,183,1490-t0",u790-t0
img_womens_clogs_207.jpg,4584,756,"u4584,756-t0",u4584-t0
img_womens_clogs_301.jpg,240,"4577,736,3678,1141,183,3865,3599,4540,1426,4044,2207,3865,2401","u240,4577,736,3678,1141,183,3865,3599,4540,1426,4044,2207,3865,2401-t0",u240-t0
img_womens_clogs_305.jpg,4631,"2401,3678,2401,590","u4631,2401,3678,2401,590-t0",u4631-t0
img_womens_clogs_32.jpg,1818,4220,"u1818,4220-t0",u1818-t0
img_womens_clogs_440.jpg,1723,"2102,187,4577","u1723,2102,187,4577-t0",u1723-t0
img_womens_clogs_459.jpg,350,"736,3462,1426,1000","u350,736,3462,1426,1000-t0",u350-t0
img_womens_clogs_484.jpg,3605,"3865,3562,3765,622","u3605,3865,3562,3765,622-t0",u3605-t0
img_womens_clogs_508.jpg,2668,4577,"u2668,4577-t0",u2668-t0
img_womens_clogs_775.jpg,3274,"1246,2851,3274,3274,57,2521","u3274,1246,2851,3274,3274,57,2521-t0",u3274-t0
img_womens_clogs_853.jpg,1730,"1730,1730","u1730,1730,1730-t0",u1730-t0
img_womens_clogs_862.jpg,2422,"2045,2536,2157","u2422,2045,2536,2157-t0",u2422-t0
