Input.target1,Input.top1,Input.top2,Input.top3,Input.top4,Input.top5,Input.top6,Input.top7,Input.top8,Input.top9,Input.top10,Input.top11,Input.top12,Input.top13,Input.top14,HITId,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14
img_womens_boots_1308.jpg,img_womens_boots_48.jpg,img_womens_clogs_1058.jpg,img_womens_boots_204.jpg,img_womens_high_heels_1471.jpg,img_womens_high_heels_925.jpg,img_womens_pumps_637.jpg,img_womens_pumps_545.jpg,img_womens_boots_485.jpg,img_womens_wedding_shoes_147.jpg,img_womens_flats_532.jpg,img_womens_flats_835.jpg,img_womens_pumps_301.jpg,img_womens_wedding_shoes_20.jpg,img_womens_flats_318.jpg,3HYV4299IFGWIRQS0PC4SYZXQHD8EP,False,False,False,False,False,False,False,True,False,False,False,False,False,False
img_womens_stiletto_651.jpg,img_womens_stiletto_337.jpg,img_womens_stiletto_675.jpg,img_womens_stiletto_675.jpg,img_womens_high_heels_759.jpg,img_womens_high_heels_1471.jpg,img_womens_pumps_545.jpg,img_womens_high_heels_1032.jpg,img_womens_boots_1588.jpg,img_womens_stiletto_1599.jpg,img_womens_high_heels_845.jpg,img_womens_pumps_301.jpg,img_womens_flats_318.jpg,img_womens_boots_928.jpg,img_womens_wedding_shoes_652.jpg,3VDI8GSXBUDU25MJ6K2SS1K93XS8G6,True,True,True,True,False,False,False,False,False,False,False,False,False,False
img_womens_flats_1507.jpg,img_womens_flats_522.jpg,img_womens_flats_646.jpg,img_womens_clogs_1417.jpg,img_womens_high_heels_1471.jpg,img_womens_pumps_545.jpg,img_womens_high_heels_925.jpg,img_womens_pumps_637.jpg,img_womens_clogs_888.jpg,img_womens_flats_834.jpg,img_womens_clogs_1634.jpg,img_womens_pumps_301.jpg,img_womens_flats_318.jpg,img_womens_flats_835.jpg,img_womens_high_heels_197.jpg,3ZUE82NE1PLOO5QOV0WAAGKX2IS8F7,False,False,False,False,False,False,False,False,False,False,False,False,False,False
img_womens_clogs_32.jpg,img_womens_clogs_442.jpg,img_womens_clogs_972.jpg,img_womens_clogs_704.jpg,img_womens_high_heels_1471.jpg,img_womens_pumps_545.jpg,img_womens_high_heels_1032.jpg,img_womens_pumps_637.jpg,img_womens_clogs_86.jpg,img_womens_clogs_810.jpg,img_womens_clogs_180.jpg,img_womens_pumps_301.jpg,img_womens_flats_318.jpg,img_womens_flats_835.jpg,img_womens_high_heels_197.jpg,3ZURAPD29N76D563WFNVV6XPOCM1FG,True,False,False,False,False,False,False,False,False,False,False,False,False,False
img_womens_athletic_shoes_1071.jpg,img_womens_athletic_shoes_421.jpg,img_womens_athletic_shoes_1564.jpg,img_womens_athletic_shoes_1071.jpg,img_womens_high_heels_1471.jpg,img_womens_pumps_545.jpg,img_womens_high_heels_1032.jpg,img_womens_pumps_676.jpg,img_womens_sneakers_1144.jpg,img_womens_athletic_shoes_1362.jpg,img_womens_sneakers_101.jpg,img_womens_pumps_301.jpg,img_womens_boots_928.jpg,img_womens_boots_1528.jpg,img_womens_flats_318.jpg,3INZSNUD9FAR4QV29M7YMCCNABUD9Q,False,True,False,False,False,False,False,True,False,False,False,True,False,False
img_womens_sneakers_720.jpg,img_womens_athletic_shoes_1537.jpg,img_womens_athletic_shoes_786.jpg,img_womens_athletic_shoes_1489.jpg,img_womens_high_heels_1471.jpg,img_womens_pumps_545.jpg,img_womens_high_heels_1032.jpg,img_womens_high_heels_1032.jpg,img_womens_pumps_676.jpg,img_womens_clogs_287.jpg,img_womens_clogs_298.jpg,img_womens_athletic_shoes_1538.jpg,img_womens_flats_835.jpg,img_womens_wedding_shoes_20.jpg,img_womens_sneakers_1127.jpg,3EHIMLB7GMJ821HUQQKAD1WAIX58H5,True,False,False,False,False,False,True,False,False,False,False,False,False,True
img_womens_clogs_1422.jpg,img_womens_clogs_680.jpg,img_womens_clogs_681.jpg,img_womens_clogs_853.jpg,img_womens_high_heels_1471.jpg,img_womens_flats_835.jpg,img_womens_high_heels_645.jpg,img_womens_high_heels_684.jpg,img_womens_clogs_165.jpg,img_womens_flats_31.jpg,img_womens_clogs_1405.jpg,img_womens_stiletto_1471.jpg,img_womens_sneakers_1127.jpg,img_womens_high_heels_1032.jpg,img_womens_high_heels_925.jpg,3L55D8AUGPHW0ZXWH2431NNWYK2YCZ,True,True,False,True,False,False,False,False,False,False,False,True,False,False
img_womens_stiletto_131.jpg,img_womens_stiletto_237.jpg,img_womens_stiletto_882.jpg,img_womens_stiletto_235.jpg,img_womens_high_heels_1471.jpg,img_womens_pumps_545.jpg,img_womens_high_heels_1032.jpg,img_womens_high_heels_1032.jpg,img_womens_pumps_676.jpg,img_womens_boots_185.jpg,img_womens_rain_boots_72.jpg,img_womens_boots_0.jpg,img_womens_flats_835.jpg,img_womens_wedding_shoes_20.jpg,img_womens_flats_679.jpg,36FQTHX30IBCAR82EHFI09L17Y83BS,True,True,True,True,True,True,True,True,False,False,False,True,False,False
img_womens_wedding_shoes_569.jpg,img_womens_wedding_shoes_194.jpg,img_womens_wedding_shoes_142.jpg,img_womens_wedding_shoes_869.jpg,img_womens_high_heels_925.jpg,img_womens_stiletto_918.jpg,img_womens_pumps_637.jpg,img_womens_high_heels_298.jpg,img_womens_wedding_shoes_515.jpg,img_womens_wedding_shoes_560.jpg,img_womens_high_heels_1568.jpg,img_womens_pumps_301.jpg,img_womens_boots_928.jpg,img_womens_boots_1528.jpg,img_womens_flats_318.jpg,3VMHWJRYIA0E36RW3882QF1QTR1FXM,True,False,False,False,False,False,False,False,True,False,False,False,False,False
img_womens_flats_54.jpg,img_womens_flats_410.jpg,img_womens_flats_410.jpg,img_womens_pumps_1066.jpg,img_womens_flats_807.jpg,img_womens_high_heels_1471.jpg,img_womens_pumps_545.jpg,img_womens_high_heels_1032.jpg,img_womens_pumps_637.jpg,img_womens_flats_985.jpg,img_womens_flats_95.jpg,img_womens_flats_835.jpg,img_womens_pumps_301.jpg,img_womens_wedding_shoes_20.jpg,img_womens_flats_679.jpg,37OPIVELV9NMLPA9NO4O9S258L5AHB,False,False,False,True,False,False,False,False,False,False,False,False,False,False
